2026-01-28 12:18:17 | INFO    | ldc | mouse_worker started
2026-01-28 12:18:17 | INFO    | ldc | http listening on http://0.0.0.0:8888/
2026-01-28 12:18:17 | INFO    | ldc | ws listening on ws://0.0.0.0:8765/
2026-01-28 12:18:20 | INFO    | ldc | ws client connected
2026-01-28 12:18:30 | INFO    | ldc | ws client connected
2026-01-28 12:19:03 | INFO    | ldc | ws client disconnected
2026-01-28 12:20:31 | INFO    | ldc | ws client disconnected
2026-01-28 12:20:32 | INFO    | ldc | mouse_worker started
2026-01-28 12:20:32 | INFO    | ldc | http listening on http://0.0.0.0:8888/
2026-01-28 12:20:32 | INFO    | ldc | ws listening on ws://0.0.0.0:8765/
2026-01-28 12:20:33 | INFO    | ldc | ws client connected
2026-01-28 12:20:42 | INFO    | ldc | ws client connected
2026-01-28 12:20:43 | DEBUG   | ldc | move info: 11.200000000000001 , 0.0
2026-01-28 12:20:43 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:43 | DEBUG   | ldc | move info: 0.0 , 0.0
2026-01-28 12:20:43 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:43 | DEBUG   | ldc | move info: 13.866666666666607 , 0.0
2026-01-28 12:20:43 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:43 | DEBUG   | ldc | move info: 17.6 , 0.0
2026-01-28 12:20:43 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:43 | DEBUG   | ldc | move info: 17.6 , 0.0
2026-01-28 12:20:43 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:43 | DEBUG   | ldc | move info: 17.0666666666667 , 0.0
2026-01-28 12:20:43 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:43 | DEBUG   | ldc | move info: 17.0666666666667 , 0.0
2026-01-28 12:20:43 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:43 | DEBUG   | ldc | move info: 16.0 , 0.0
2026-01-28 12:20:43 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:43 | DEBUG   | ldc | move info: 13.333333333333304 , 0.0
2026-01-28 12:20:43 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:43 | DEBUG   | ldc | move info: 10.666666666666698 , 0.0
2026-01-28 12:20:43 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:43 | DEBUG   | ldc | move info: 6.933333333333303 , 6.933333333333394
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 5.333333333333304 , 9.600000000000001
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 2.666666666666697 , 10.666666666666607
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 2.133333333333303 , 11.733333333333395
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 1.6 , 12.266666666666607
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 0.5333333333333939 , 13.866666666666788
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
